epoch [1/500], loss:0.5633
epoch [6/500], loss:0.3452
epoch [11/500], loss:0.3200
epoch [16/500], loss:0.3051
epoch [21/500], loss:0.2904
epoch [26/500], loss:0.2765
epoch [31/500], loss:0.2658
epoch [36/500], loss:0.2553
epoch [41/500], loss:0.2463
epoch [46/500], loss:0.2387
epoch [51/500], loss:0.2319
epoch [56/500], loss:0.2261
epoch [61/500], loss:0.2195
epoch [66/500], loss:0.2155
epoch [71/500], loss:0.2109
epoch [76/500], loss:0.2062
epoch [81/500], loss:0.2033
epoch [86/500], loss:0.2004
epoch [91/500], loss:0.1981
epoch [96/500], loss:0.1943
epoch [101/500], loss:0.1913
epoch [106/500], loss:0.1894
epoch [111/500], loss:0.1873
epoch [116/500], loss:0.1853
epoch [121/500], loss:0.1835
epoch [126/500], loss:0.1817
epoch [131/500], loss:0.1800
epoch [136/500], loss:0.1785
epoch [141/500], loss:0.1767
epoch [146/500], loss:0.1758
epoch [151/500], loss:0.1744
epoch [156/500], loss:0.1730
epoch [161/500], loss:0.1718
epoch [166/500], loss:0.1706
epoch [171/500], loss:0.1697
epoch [176/500], loss:0.1683
epoch [181/500], loss:0.1668
epoch [186/500], loss:0.1663
epoch [191/500], loss:0.1650
epoch [196/500], loss:0.1640
epoch [201/500], loss:0.1632
epoch [206/500], loss:0.1628
epoch [211/500], loss:0.1617
epoch [216/500], loss:0.1606
epoch [221/500], loss:0.1601
epoch [226/500], loss:0.1591
epoch [231/500], loss:0.1587
epoch [236/500], loss:0.1580
epoch [241/500], loss:0.1571
epoch [246/500], loss:0.1565
epoch [251/500], loss:0.1556
epoch [256/500], loss:0.1552
epoch [261/500], loss:0.1551
epoch [266/500], loss:0.1543
epoch [271/500], loss:0.1545
epoch [276/500], loss:0.1532
epoch [281/500], loss:0.1524
epoch [286/500], loss:0.1518
epoch [291/500], loss:0.1515
epoch [296/500], loss:0.1522
epoch [301/500], loss:0.1504
epoch [306/500], loss:0.1500
epoch [311/500], loss:0.1493
epoch [316/500], loss:0.1489
epoch [321/500], loss:0.1486
epoch [326/500], loss:0.1482
epoch [331/500], loss:0.1480
epoch [336/500], loss:0.1473
epoch [341/500], loss:0.1472
epoch [346/500], loss:0.1468
epoch [351/500], loss:0.1466
epoch [356/500], loss:0.1460
epoch [361/500], loss:0.1467
epoch [366/500], loss:0.1455
epoch [371/500], loss:0.1451
epoch [376/500], loss:0.1448
epoch [381/500], loss:0.1449
epoch [386/500], loss:0.1444
epoch [391/500], loss:0.1441
epoch [396/500], loss:0.1438
epoch [401/500], loss:0.1434
epoch [406/500], loss:0.1431
epoch [411/500], loss:0.1430
epoch [416/500], loss:0.1427
epoch [421/500], loss:0.1428
epoch [426/500], loss:0.1422
epoch [431/500], loss:0.1419
epoch [436/500], loss:0.1419
epoch [441/500], loss:0.1418
epoch [446/500], loss:0.1412
epoch [451/500], loss:0.1413
epoch [456/500], loss:0.1410
epoch [461/500], loss:0.1408
epoch [466/500], loss:0.1408
epoch [471/500], loss:0.1405
epoch [476/500], loss:0.1407
epoch [481/500], loss:0.1407
epoch [486/500], loss:0.1409
epoch [491/500], loss:0.1412
epoch [496/500], loss:0.1405
训练autoencoder模型参数共耗时:36302.58862519264
